epoch,split,loss,f1_macro,f1_micro,mAP
1,train,0.036237487239922025,0.46024163521647843,0.6586943797718612,0.5244994214784624
1,val,0.032320643778004476,0.548420702224248,0.7038564377396136,0.6198721664023985
2,train,0.03202771001497111,0.5399850085272463,0.7016909656334765,0.6083643636185501
2,val,0.030869115932420563,0.5846676967443363,0.7177131952268181,0.653346868805197
3,train,0.030569950732556316,0.5674720751799522,0.7154097304138252,0.6375034277172156
3,val,0.02972805235020029,0.6052144494829278,0.7261006562021218,0.6683728500643047
4,train,0.029457265541241413,0.58882192430276,0.7247285866593653,0.6608574328525022
4,val,0.029398120024025712,0.6219407314719628,0.733107313519312,0.6790359504562323
5,train,0.028515299261833275,0.6059383421148081,0.7328896412204285,0.6793590325889513
5,val,0.02864548171126488,0.6286452044609936,0.7336526459403756,0.6949261985825541
6,train,0.027624391404313532,0.6227435649227248,0.7410519635535008,0.697316890805968
6,val,0.028288342310418563,0.6481102931387006,0.7459792955534414,0.7031019521235274
7,train,0.026751691321022605,0.6389405368940361,0.7483172366236793,0.7154326936087266
7,val,0.029864056607068524,0.6490903215212755,0.7365298663744384,0.6993293086350552
8,train,0.02598748726503224,0.6524397325987081,0.755035751265766,0.7308818748723052
8,val,0.028128458229101802,0.6587407260019121,0.7524328972977866,0.7143826230371226
9,train,0.025178256019638908,0.6668190880948158,0.7623483767826796,0.7461144946892712
9,val,0.027400917905038298,0.6660684825664859,0.7513708341162604,0.7296592004408802
10,train,0.024464864457759687,0.6806844850634688,0.7690941917273002,0.7603464982369822
10,val,0.02711135749534772,0.6725187589170963,0.7606536474062143,0.7275491832818652
11,train,0.022277130455035588,0.7186963638543855,0.7886562775795634,0.8010810438563137
11,val,0.026360590254596427,0.6931023983281194,0.7731124102961957,0.7503188384667623
12,train,0.021145589272145136,0.7351982167148697,0.7988307405177124,0.8185607060522407
12,val,0.027714860370492457,0.6959243587175206,0.7726157833556734,0.7496624120820994
13,train,0.02038568072629494,0.7480543410021817,0.805574984898102,0.8318410297143591
13,val,0.027489930661527696,0.7065100302444808,0.7773367413974903,0.760622948349931
14,train,0.019656748371215674,0.759105415123615,0.8121245645344838,0.8427461538023905
14,val,0.028972463536538123,0.6987024630286294,0.7760279868452998,0.7542558736905329
15,train,0.0189781715622858,0.7708921481162152,0.8185344344263719,0.8536078704993175
15,val,0.029516304292521115,0.7071538383951533,0.7773532055205421,0.7615762366450894
16,train,0.01835721431600907,0.779724347304541,0.8243666498613562,0.8627722732563503
16,val,0.02922585232366005,0.7065128410804679,0.7786868581413366,0.7633149032496809
17,train,0.017706062211477604,0.7895507655737234,0.8308953918114693,0.8715200062043102
17,val,0.02985559406333482,0.7063727326708445,0.7772544148442094,0.7603992595496879
18,train,0.01712503571969249,0.7980814673430213,0.8360357792511353,0.8794863944995073
18,val,0.03114699428272623,0.703090254456879,0.7780740805242019,0.7558677260219048
19,train,0.016498065941245338,0.8061344816791548,0.8421484157214406,0.8870102114140272
19,val,0.029928993855837763,0.7183117865751804,0.7842327967024846,0.7733932545510056
20,train,0.01592385797651515,0.815013121619481,0.8481842630940917,0.89498767543074
20,val,0.03186172053617296,0.7142897463332896,0.7827670233701667,0.7703575967703201
21,test,0.032251968335528756,0.7145070114425458,0.7808317633862941,0.7679915486560349
