epoch,split,loss,f1_macro,f1_micro,mAP
1,train,0.04254553654841308,0.3238931753203352,0.5795212481578421,0.4010786910224102
1,val,0.035718340522276494,0.4823589567003925,0.6685496671555226,0.5456961688334813
2,train,0.03539950291536573,0.46528152516988525,0.6658644245472227,0.5376823530121598
2,val,0.03298436421938846,0.5262035513742966,0.6948800683290233,0.5922301764215191
3,train,0.03354535595272176,0.5059574434415715,0.6854878348488572,0.5758324139037775
3,val,0.03234210861013914,0.5513125959686008,0.7013110762118191,0.6086714408587847
4,train,0.03242107583111838,0.5291190812187557,0.6966077328045598,0.5987825507003817
4,val,0.031533272879205765,0.5632125414952046,0.7071434022294881,0.6224284610697252
5,train,0.03160309352656782,0.5454578301828229,0.704818343269046,0.6164620341273306
5,val,0.03105966263730836,0.5761552320819435,0.7110348999042793,0.6337564234027321
6,train,0.030884531525634702,0.5584252870204939,0.7109091946002523,0.630660094907347
6,val,0.030799593055257347,0.5860523685742689,0.7184212200609625,0.6430993297027706
7,train,0.030259902000481335,0.5716968580406708,0.7167668218507942,0.6433916137161759
7,val,0.030425852658208158,0.5887268598606722,0.7204474324794251,0.6492093008061808
8,train,0.029631855260722758,0.5807587632900915,0.7221182223347345,0.6546211083038476
8,val,0.03018197753065364,0.6037719956049139,0.7230527189657074,0.654916727066881
9,train,0.02904961454477533,0.5928597578867185,0.7274360349381808,0.666643528239415
9,val,0.030483254321900053,0.601730371865437,0.7190663193981194,0.6557517635925573
10,train,0.028465873905797294,0.6021750123418432,0.7325620475056001,0.6789117422745443
10,val,0.03036803847067134,0.6089808338957805,0.7213629283038098,0.6590368922504655
11,train,0.02732962874699039,0.6224275997864578,0.7420935529355985,0.6999929166959933
11,val,0.029798845929941694,0.6177369994131913,0.7289430545821048,0.6696787371827797
12,train,0.02679418999039164,0.6321481479365265,0.747398227183191,0.710899329378064
12,val,0.030324075704183037,0.6189165052918946,0.7257728377908996,0.6662573085310189
13,train,0.0263962142825965,0.6383449140465375,0.7504189937269717,0.7172410485574674
13,val,0.030360523045793692,0.6173617989155088,0.7259646069045547,0.6679385417350459
14,train,0.025984828144230775,0.6454029922281216,0.7540959747512326,0.7258816253490356
14,val,0.030551601237261562,0.6194177723357828,0.7267938900368704,0.6679969264879556
15,train,0.02557873929152688,0.6534677574169335,0.7576590849173875,0.7337741654779457
15,val,0.03056815866715979,0.626250431320544,0.7320363906849001,0.6710434458500947
16,train,0.025215152230607295,0.6584764224259894,0.7606962571046227,0.7404040290372338
16,val,0.0302505434317537,0.6259849193604994,0.7332778303662055,0.6728916327861509
17,train,0.02482317509308809,0.6649264357741177,0.7640242146586211,0.7467327544627588
17,val,0.03106296600677391,0.6250089896239233,0.7291777598378536,0.6687600539466253
18,train,0.024466302338886175,0.6718744405202625,0.7671096078480723,0.7534148110296853
18,val,0.031135337000402313,0.6263828965262416,0.7330017713584958,0.6710242662266784
19,train,0.02404209709514994,0.6801534208353924,0.7711518643584442,0.7620553552548186
19,val,0.03138264111476019,0.6298848481824649,0.7312675927930803,0.6737728166467547
20,train,0.0237086039265709,0.6845533914649167,0.7735885099301297,0.7675345810553569
20,val,0.03146354142269801,0.6269422274287165,0.7347894445135676,0.6720282704438559
21,test,0.03169787987310447,0.6229541059164102,0.7322508341755072,0.670101472089418
